Date,TotalSales,DayOfWeek,Precipitation,Unique
2023-06-26,9,Monday,1,9
2023-06-27,11,Tuesday,1,10
2023-06-28,9,Wednesday,0,9
2023-06-29,5,Thursday,0,5
2023-06-30,10,Friday,0,10
2023-07-01,15,Saturday,0,14
2023-07-02,21,Sunday,0,14
2023-07-03,9,Monday,0,9
2023-07-04,17,Tuesday,1,13
2023-07-05,9,Wednesday,1,9
2023-07-06,8,Thursday,0,8
2023-07-07,5,Friday,1,5
2023-07-08,11,Saturday,0,11
2023-07-09,15,Sunday,0,12
2023-07-10,13,Monday,0,13
2023-07-11,20,Tuesday,0,16
2023-07-12,11,Wednesday,0,11
2023-07-13,7,Thursday,0,7
2023-07-14,14,Friday,0,12
2023-07-15,8,Saturday,1,8
2023-07-16,19,Sunday,0,18
2023-07-17,12,Monday,0,11
2023-07-18,18,Tuesday,1,17
2023-07-19,7,Wednesday,1,7
2023-07-20,11,Thursday,0,9
2023-07-21,17,Friday,1,17
2023-07-22,32,Saturday,0,27
2023-07-23,24,Sunday,1,21
2023-07-24,20,Monday,0,20
2023-07-25,14,Tuesday,0,12
2023-07-26,22,Wednesday,1,20
2023-07-27,16,Thursday,1,15
2023-07-28,15,Friday,0,13
2023-07-29,27,Saturday,0,23
2023-07-30,27,Sunday,0,25
2023-07-31,25,Monday,0,21
2023-08-01,26,Tuesday,0,26
2023-08-02,30,Wednesday,0,27
2023-08-03,25,Thursday,0,21
2023-08-04,22,Friday,1,19
2023-08-05,49,Saturday,0,43
2023-08-06,31,Sunday,1,28
2023-08-07,28,Monday,0,28
2023-08-08,38,Tuesday,0,36
2023-08-09,43,Wednesday,0,37
2023-08-10,23,Thursday,1,22
2023-08-11,27,Friday,1,26
2023-08-12,59,Saturday,1,56
2023-08-13,59,Sunday,0,57
2023-08-14,35,Monday,1,32
2023-08-15,45,Tuesday,0,42
2023-08-16,37,Wednesday,0,36
2023-08-17,39,Thursday,0,35
2023-08-18,33,Friday,0,32
2023-08-19,50,Saturday,0,48
2023-08-20,40,Sunday,0,37
2023-08-21,37,Monday,1,32
2023-08-22,36,Tuesday,0,33
2023-08-23,31,Wednesday,0,28
2023-08-24,29,Thursday,1,26
2023-08-25,39,Friday,0,35
2023-08-26,34,Saturday,0,30
2023-08-27,57,Sunday,1,54
2023-08-28,48,Monday,1,44
2023-08-29,42,Tuesday,0,39
2023-08-30,49,Wednesday,1,44
2023-08-31,48,Thursday,1,45
2023-09-01,13,Friday,1,12
2023-09-02,29,Saturday,1,26
2023-09-03,29,Sunday,1,29
2023-09-04,13,Monday,1,11
2023-09-05,13,Tuesday,1,13
2023-09-06,12,Wednesday,1,11
2023-09-07,12,Thursday,0,12
2023-09-08,11,Friday,1,11
2023-09-09,22,Saturday,0,21
2023-09-10,27,Sunday,1,26
2023-09-11,17,Monday,1,17
2023-09-12,11,Tuesday,1,8
2023-09-13,11,Wednesday,1,11
2023-09-14,8,Thursday,1,8
2023-09-15,17,Friday,1,16
2023-09-16,23,Saturday,0,23
2023-09-17,24,Sunday,0,23
2023-09-18,21,Monday,0,20
2023-09-19,20,Tuesday,0,19
2023-09-20,8,Wednesday,1,8
2023-09-21,8,Thursday,0,7
2023-09-22,12,Friday,0,12
2023-09-23,28,Saturday,1,25
2023-09-24,26,Sunday,0,24
2023-09-25,15,Monday,1,13
2023-09-26,7,Tuesday,0,7
2023-09-27,14,Wednesday,1,12
2023-09-28,16,Thursday,0,15
2023-09-29,10,Friday,0,10
2023-09-30,22,Saturday,1,19
2023-10-01,29,Sunday,0,29
2023-10-02,18,Monday,0,17
2023-10-03,16,Tuesday,0,16
2023-10-04,17,Wednesday,0,16
2023-10-05,15,Thursday,0,15
2023-10-06,19,Friday,0,17
2023-10-07,26,Saturday,0,25
2023-10-08,25,Sunday,1,24
2023-10-09,16,Monday,0,16
2023-10-10,8,Tuesday,0,8
2023-10-11,16,Wednesday,0,15
2023-10-12,15,Thursday,0,11
2023-10-13,18,Friday,0,17
2023-10-14,64,Saturday,0,60
2023-10-15,60,Sunday,1,58
2023-10-16,17,Monday,0,17
2023-10-17,22,Tuesday,0,21
2023-10-18,20,Wednesday,0,18
2023-10-19,24,Thursday,0,24
2023-10-20,14,Friday,0,13
2023-10-21,46,Saturday,1,45
2023-10-22,37,Sunday,1,36
2023-10-23,33,Monday,1,31
2023-10-24,26,Tuesday,0,26
2023-10-25,55,Wednesday,1,50
2023-10-26,33,Thursday,1,29
2023-10-27,22,Friday,0,21
2023-10-28,41,Saturday,0,40
2023-10-29,54,Sunday,1,52
2023-10-30,30,Monday,1,30
2023-10-31,27,Tuesday,1,26
2023-11-01,42,Wednesday,1,40
2023-11-02,27,Thursday,1,26
2023-11-03,44,Friday,1,41
2023-11-04,49,Saturday,0,46
2023-11-05,54,Sunday,0,49
2023-11-06,21,Monday,0,21
2023-11-07,19,Tuesday,0,18
2023-11-08,32,Wednesday,0,30
2023-11-09,17,Thursday,1,17
2023-11-10,21,Friday,1,21
2023-11-11,31,Saturday,0,30
2023-11-12,41,Sunday,1,39
2023-11-13,23,Monday,1,21
2023-11-14,13,Tuesday,1,13
2023-11-15,24,Wednesday,0,24
2023-11-16,15,Thursday,0,15
2023-11-17,17,Friday,1,15
2023-11-18,30,Saturday,1,28
2023-11-19,48,Sunday,1,45
2023-11-20,29,Monday,0,26
2023-11-21,27,Tuesday,0,27
2023-11-22,17,Wednesday,1,16
2023-11-23,19,Thursday,1,18
2023-11-24,25,Friday,1,23
2023-11-25,63,Saturday,1,52
2023-11-26,39,Sunday,0,37
2023-11-27,11,Monday,0,11
2023-11-28,19,Tuesday,0,17
2023-11-29,15,Wednesday,0,14
2023-11-30,14,Thursday,0,14
2023-12-01,20,Friday,1,16
2023-12-02,30,Saturday,1,28
2023-12-03,29,Sunday,1,28
2023-12-04,28,Monday,1,26
2023-12-05,22,Tuesday,1,21
2023-12-06,20,Wednesday,1,19
2023-12-07,11,Thursday,0,11
2023-12-08,34,Friday,1,29
2023-12-09,58,Saturday,0,52
2023-12-10,59,Sunday,0,55
2023-12-11,20,Monday,1,20
2023-12-12,11,Tuesday,0,11
2023-12-13,9,Wednesday,0,9
2023-12-14,8,Thursday,0,8
2023-12-15,14,Friday,0,13
2023-12-16,37,Saturday,0,31
2023-12-17,33,Sunday,0,29
2023-12-18,36,Monday,0,30
2023-12-19,11,Tuesday,1,9
2023-12-20,20,Wednesday,1,19
2023-12-21,36,Thursday,1,22
2023-12-22,15,Friday,1,12
2023-12-23,23,Saturday,0,19
2023-12-24,35,Sunday,0,28
2023-12-25,43,Monday,0,28
2023-12-26,21,Tuesday,1,21
2023-12-27,14,Wednesday,1,13
2023-12-28,14,Thursday,1,11
2023-12-29,16,Friday,1,14
2023-12-30,35,Saturday,1,31
2023-12-31,18,Sunday,1,16
